f1,f2,algorithm,cv_auc
Position,Position_Change,LightGBM,0.6888121129798173
Position,Position_Change,LogReg,0.537151246700519
Position,Position_Change,DecisionTree,0.6867479530673327
Position,Position_Change,RandomForest,0.688852867146871
LapTime (s),LapTime_Delta,LightGBM,0.7677755499061077
LapTime (s),LapTime_Delta,LogReg,0.5392667780470446
LapTime (s),LapTime_Delta,DecisionTree,0.7260656620052106
LapTime (s),LapTime_Delta,RandomForest,0.7571073447567596
LapTime (s),Cumulative_Degradation,LightGBM,0.7663556771796676
LapTime (s),Cumulative_Degradation,LogReg,0.6123334841792512
LapTime (s),Cumulative_Degradation,DecisionTree,0.7051872559406225
LapTime (s),Cumulative_Degradation,RandomForest,0.7376541549367113
LapTime (s),RaceProgress,LightGBM,0.7811542577023695
LapTime (s),RaceProgress,LogReg,0.6618596674029589
LapTime (s),RaceProgress,DecisionTree,0.7381274513329299
LapTime (s),RaceProgress,RandomForest,0.7591111187243329
LapTime (s),Position_Change,LightGBM,0.7231323609182476
LapTime (s),Position_Change,LogReg,0.548534951376511
LapTime (s),Position_Change,DecisionTree,0.7095759779730965
LapTime (s),Position_Change,RandomForest,0.7192949978563721
LapTime_Delta,Cumulative_Degradation,LightGBM,0.7834407767317219
LapTime_Delta,Cumulative_Degradation,LogReg,0.6110767673341115
LapTime_Delta,Cumulative_Degradation,DecisionTree,0.7482904311794633
LapTime_Delta,Cumulative_Degradation,RandomForest,0.7720567082277487
LapTime_Delta,RaceProgress,LightGBM,0.8326760321313497
LapTime_Delta,RaceProgress,LogReg,0.6647493002829475
LapTime_Delta,RaceProgress,DecisionTree,0.8157582464063574
LapTime_Delta,RaceProgress,RandomForest,0.8263232758224458
LapTime_Delta,Position_Change,LightGBM,0.7341599060614359
LapTime_Delta,Position_Change,LogReg,0.5296509748410975
LapTime_Delta,Position_Change,DecisionTree,0.7180445863326591
LapTime_Delta,Position_Change,RandomForest,0.7291587514580719
Cumulative_Degradation,RaceProgress,LightGBM,0.7957027731828814
Cumulative_Degradation,RaceProgress,LogReg,0.6701864139361907
Cumulative_Degradation,RaceProgress,DecisionTree,0.765388581624772
Cumulative_Degradation,RaceProgress,RandomForest,0.7802693761608109
Cumulative_Degradation,Position_Change,LightGBM,0.7523720877803541
Cumulative_Degradation,Position_Change,LogReg,0.6154742348048171
Cumulative_Degradation,Position_Change,DecisionTree,0.7398814730566791
Cumulative_Degradation,Position_Change,RandomForest,0.7477687279957971
RaceProgress,Position_Change,LightGBM,0.8067700339095022
RaceProgress,Position_Change,LogReg,0.6615959758430426
RaceProgress,Position_Change,DecisionTree,0.7977827058012652
RaceProgress,Position_Change,RandomForest,0.8033862512679358
